pond,year,larv_density,med_prey,large_prey,vert_pred_dens,invert_pred,plankton,water_temp,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,depth,suitable_598_split,suitable_598,log_larv_dens,log_med_prey,log_large_prey,vert_pred,log_invert_pred,log_plankton,log_water_temp,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Visitor Center,2021,0,0,48.93333333,0,0.038095238,15,21.4,0.3,374.9,134.5,1.132,10,50,692100,756000,-2.304490568,0,1.69019608,0,-1.30518596,1.204119983,1.330413773,-0.397940009,2.57391544,11.5974135,0.3287872,3.16227766,0
Visitor Center,2022,0,0,43.11428571,0,0.114285714,6,18.7,0.2,374.9,153.4,1.753,3,30,692100,756000,-2.304490568,0,1.635292217,0,-0.90061537,0.84509804,1.271841607,-0.522878745,2.57391544,12.38547536,0.439806211,1.732050808,0
Visitor Center,2023,0,0,19.06862745,0,0.049019608,244,17.8,0.1,374.9,156.9,3.469,8,91.44,692100,756000,-2.304490568,0,1.281835142,0,-1.218616778,2.389166084,1.250420002,-0.698970004,2.57391544,12.52597302,0.650210355,2.828427125,0
Willow Canyon,2021,3.1,4,2.771428571,0,0,1128,16.8,0.1,695,450.7,65.08,25,60,734400,739800,0.492056054,0.698970004,0.453026965,0,-1.942008069,3.052693942,1.225309282,-0.698970004,2.841984805,21.22969618,1.820070034,5,0
Willow Canyon,2022,3.866666667,3,5.352380952,0,0.380952381,64,19.2,0,695,227.5,5.527,40,62,734400,739800,0.587893508,0.602059991,0.733922967,0,-0.406292084,1.812913357,1.283301229,-1,2.841984805,15.08310313,0.814713613,6.32455532,0
Willow Canyon,2023,2.083333333,7.14,4.537037037,0,0.138888889,2060.72,17.8,0,695,252.6,31.88,40,121.9,734400,739800,0.319791568,0.910624405,0.663107365,0,-0.822990571,3.314229684,1.250420002,-1,2.841984805,15.89339485,1.516931809,6.32455532,0
Willow Canyon,2024,0.139891697,17.333333,8.8,0,2,1287,19.6,0,695,160.3,15.41,25,131.064,734400,739800,-0.839075462,1.263241427,0.947760382,0,0.303504615,3.109915863,1.292256071,-1,2.841984805,12.66096363,1.215108581,5,1
Zmudowski,2022,0,1,6,3.542857143,0,1684,16.1,0.5,6093.6,214.2,3.853,45,137,305100,305100,-2.304490568,0.301029996,0.782950133,1,-1.942008069,3.226599905,1.206825876,-0.22184875,3.784873943,14.6355731,0.686010291,6.708203932,0
Zmudowski,2021,0,3,4.071428571,3.3,0.028571429,121,17.6,0.8,6093.6,0,6.118,50,65,305100,305100,-2.304490568,0.602059991,0.616800482,1,-1.397940009,2.086359831,1.245512668,-0.045757491,3.784873943,0,0.852357984,7.071067812,0
Zmudowski,2023,0,66,3.676470588,0.539215686,0,1776.5,16.3,0.2,6093.6,255.1,10.35,35,152.4,305100,305100,-2.304490568,1.826074803,0.573235752,1,-1.942008069,3.249809609,1.212187604,-0.522878745,3.784873943,15.97185024,1.054995862,5.916079783,1
Zmudowski,2024,0,39,3.653846154,0.16025641,0,819,16.8,0.3,6093.6,345.7,6.576,70,152.4,305100,305100,-2.304490568,1.602059991,0.570602806,1,-1.942008069,2.913813852,1.225309282,-0.397940009,3.784873943,18.59300944,0.879439966,8.366600265,1
