pond,year,larv_density,large_prey,vert_pred_dens,invert_pred,water_temp,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,depth,suitable_598_split,suitable_598,log_larv_dens,log_large_prey,vert_pred,log_invert_pred,log_water_temp,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Calabasas,2022,0.335820896,109.3283582,0,0.111940299,13.6,0,102.82,367.8,4.379,90,27,883800,1260000,-0.467524356,2.038997571,0,-0.908794413,1.133538908,-1,2.0120776,19.17811252,0.730701544,9.486832981,0
Central,2022,0,6.25,0,0,22.8,0.2,566,6348,95.42,5,10,236700,310500,-2.304490568,0.80048796,0,-1.942008069,1.357934847,-0.522878745,2.752816431,79.67433715,1.984167127,2.236067977,0
Delaney,2022,0,8.888888889,0,0,17.4,0,371.5,259.9,19.09,20,122,974700,1012500,-2.304490568,0.952092532,0,-1.942008069,1.240549248,-1,2.569958818,16.12141433,1.302979937,4.472135955,0
Ellicott,2022,0.199134199,4.171428571,0.085714286,0,18.4,0,385,1094,11.62,30,66,671400,840600,-0.690168665,0.627170712,1,-1.942008069,1.264817823,-1,2.58546073,33.07567082,1.101059355,5.477225575,0
Hix,2022,0,18.57142857,0,0,17.8,0.2,652,420.1,76.42,0,106,243900,797400,-2.304490568,1.270401527,0,-1.942008069,1.250420002,-0.522878745,2.814247596,20.49634114,1.888853167,0,0
McClusky Slough,2022,0,0,0.157142857,0,19.2,0.5,4536,431.1,23.27,10,91,495000,495000,-2.304490568,-1.176091257,1,-1.942008069,1.283301229,-0.22184875,3.656673046,20.76294777,1.385069776,3.16227766,0
Millsap 1,2022,0,0.691489362,1.170212766,0.106382979,13,0.1,72.98,605.8,15.47,98,91,744300,1125000,-2.304490568,-0.120241407,1,-0.92881213,1.113943352,-0.698970004,1.863203859,24.61300469,1.216693599,9.899494937,0
Millsap 2,2022,0.886287625,0.542857143,0.142857143,0,20.8,0.4,72.98,190.5,89.94,10,71,688500,1113300,-0.05000146,-0.215009325,1,-1.942008069,1.318063335,-0.301029996,1.863203859,13.80217374,1.95875495,3.16227766,0
Oxbow,2022,0,0.428571429,0,0,12.5,0.3,125.7,325.2,0,90,90,732600,732600,-2.304490568,-0.305185955,0,-1.942008069,1.096910013,-0.397940009,2.099335278,18.03330253,0,9.486832981,0
Pond N,2022,0.225733634,32.34285714,0,0.228571429,14.4,0.3,120,425.1,25.45,30,76,675000,675000,-0.636963793,1.51067265,0,-0.619788758,1.158362492,-0.397940009,2.079181246,20.61795334,1.422425676,5.477225575,0
