pond,year,depth,suitable_598_split,suitable_598,vert_pred,log_larv_density,log_med_prey,log_large_prey,log_invert_pred,log_plankton,log_water_temp,log_DO,log_nitrates,log_pH,log_salinity,log_turbidity,log_conductivity,log_dist_to_breed,sqrt_chlorophyll,sqrt_emergent_veg,Azolla Presence/Absence
Buena Vista 1,2023,237.7,1070100,1070100,0,-2.304490568,2.173768823,0.728769873,-0.807824815,3.503681755,1.274157849,0.681241237,1.256236533,0.835690572,-1,1.476831629,2.090610708,2.707041061,14.46720429,3.16227766,0
Buena Vista 2,2023,173.7,827100,992700,0,-1.126518042,1.342422681,0.983185821,-0.996908926,3.041392685,1.298853076,1.096910013,1.477555332,0.940516485,-1,0.759441197,2.162564407,2.707041061,10.73312629,4.472135955,0
Calabasas,2023,82,883800,1260000,0,-0.999866518,0,1.13912529,-0.943123059,3.243781916,1.212187604,0.843232778,1.002166062,0.818225894,-1,0.660580912,2.059184618,2.319369172,10.1882285,9.219544457,1
Carneros 1,2023,152.4,544500,561600,1,-0.859925308,0,1.075312954,-0.352498809,1.830374783,1.195899652,0.498310554,1.200850498,0.867467488,-0.301029996,0.963504499,2.784617293,1.764624398,12.74362586,9.899494937,0
Carneros 2,2023,114.3,580500,597600,0,-1.553910079,0,1.33989291,-0.246429099,4.6814312,1.201397124,0.10720997,1.188647296,0.851258349,-0.397940009,0.735039705,2.767155866,1.621072371,17.91089054,8.366600265,0
Central,2023,91.44,236700,310500,0,-2.304490568,0.929418926,1.646567087,-0.792019598,3.801986495,1.267171728,0.833784375,1.305566314,0.852479994,-1,1.317854489,2.16613397,2.828771083,59.65735495,7.745966692,0
Delaney,2023,110,974700,1012500,0,-0.757751911,1.852479994,0.791055398,-0.785660854,3.615592374,1.195899652,0.437750563,1.462697408,0.802089258,-1,1.654369091,1.980457892,2.590041302,18.79627623,7.745966692,0
Ellicott,2023,218,671400,840600,0,-2.304490568,1.301029996,1.090946304,-1.640978074,3.225955073,1.255272505,0.401400541,1.214843848,0.840106095,-0.698970004,1.412628521,2.187802639,2.582309171,26.64301034,5,0
Lower Cattail,2023,153,486000,615600,0,-1.984645065,0,0.485275939,-1.218616778,3.245935476,1.245512668,0.534026106,1.572871602,0.857935265,-0.397940009,1.229169703,2.666985718,2.098299551,17.54137965,2.645751311,0
Merk,2023,137.2,693000,750600,0,-2.304490568,0,-0.506173052,-0.800005273,2.470373735,1.212187604,0.021189299,1.329601248,0.846955325,-1,1.549248557,2.223236273,3.182794662,14.31432849,4.472135955,0
Millsap 1,2023,106.7,744300,1125000,1,-2.304490568,1.079181246,-0.802510595,-0.713887795,2.222716471,1.113943352,-0.214670165,1.255272505,0.805500858,-0.698970004,1.236789099,2.260548373,1.914601108,18.05270063,9.486832981,0
Millsap 2,2023,112,688500,1113300,1,-0.591154879,0.954242509,0.924279286,-0.822990571,2.696356389,1.301029996,0.744292983,1.644930708,0.877946952,-0.522878745,1.631950826,2.515741417,1.914601108,15.67482057,2.828427125,1
North County Parks,2023,152,338400,338400,0,-1.219931092,1.305351369,1.144913337,-1.225442935,4.064375615,1.247973266,0.209515015,1.152594078,0.856124444,-0.522878745,1.350441857,2.604442066,3.093714321,17.55277756,5.916079783,0
Oxbow,2023,121,732600,732600,1,-1.961926805,0.812913357,0.050904991,-1.942008069,0,1.11058971,-0.15490196,1.351216345,0.871572936,-0.397940009,1.802363174,2.658774321,2.104920623,18.22086716,9.486832981,0
Pond N,2023,137.2,675000,675000,0,-0.049091055,0,0.774246546,-0.538792177,4.732884075,1.170261715,-0.124938737,1.281033367,0.846955325,-0.397940009,1.712733859,2.664641976,2.087773581,35.32704347,5.916079783,0
Pond O,2023,76.2,583200,588600,1,-0.492620111,0,0.302400601,-1.942008069,4.462293156,1.127104798,0.096910013,1.285782274,0.875061263,-0.397940009,1.607455023,2.680426171,2.087773581,17.31473361,6.708203932,0
Pond R,2023,121.9,650700,652500,1,0.147139818,0.985276745,0.888525342,0.135883117,2.416640507,1.212187604,0.42975228,1.326949994,0.852479994,-0.397940009,1.218535505,2.683227206,2.137059698,44.19275959,4.472135955,0
Pond S,2023,106.7,579600,603900,1,0.15230506,0.595625885,0.894852259,-0.143285763,2.440909082,1.206825876,0.390935107,1.324899497,0.860936621,-0.397940009,1.008472419,2.722633923,2.137059698,21.57544901,8.062257748,0
Prospect,2023,219,639900,882900,0,-2.304490568,1.980003372,1.709835081,0.278100035,3.767118745,1.278753601,0.227886705,0.812913357,0.831869774,-1,1.016281025,2.117271296,2.582309171,15.91225942,2.645751311,0
Racehorse,2023,152.4,1108800,1111500,1,-0.510097298,1.113943352,1.217922404,-0.506641547,3.559308011,1.334453751,0.851869601,1.193124598,0.858537198,-0.698970004,0.33725954,2.31344537,3.019776581,15.90597372,3.16227766,1
Seascape 1,2023,106,615600,734400,0,-0.643247268,1.447158031,0.659599313,-0.781793557,2.4448252,1.117271296,-0.431798276,1.418632687,0.780317312,-1,1.729488769,2.092720645,2.586648311,15.64928113,9.219544457,0
Seascape 2,2023,90,530100,662400,0,-0.451245208,1.819543936,-0.014723257,-0.674836326,2.463892989,1.123851641,-0.301029996,1.087071206,0.80140371,-1,0.989583289,2.128722284,2.586648311,13.26649916,9.949874371,0
Seascape 3,2023,125,455400,910800,0,-1.05211372,1.431363764,0.91204483,-1.942008069,2.394451681,1.127104798,0.158362492,1.146438135,0.82672252,-1,1.075546961,2.216693599,2.602569988,15.72259521,9.797958971,0
Shadowmere,2023,183,1081800,1081800,1,-2.304490568,1.339120039,-1.176091257,-1.144665413,3.515895911,1.130333768,0.29666519,1.120902818,0.808210973,-1,1.64028263,1.851869601,2.936643562,15.31992167,4.123105626,0
