pond,year,larv_density,large_prey,vert_pred,invert_pred,water_temp,salinity,chlorophyll,turbidity,emergent_veg,depth,dist_to_breed,suitable_598_split,suitable_598,Azolla Presence/Absence,log_larv_dens,log_large_prey,log_invert_pred,log_water_temp,log_salinity,log_chlorophyll,log_turbidity,log_emergent_veg,log_depth,log_dist_to_breed,log_suitable_598_split,log_suitable_598,sqrt_larv_density,sqrt_large_prey,sqrt_invert_pred,sqrt_water_temp,sqrt_salinity,sqrt_chlorophyll,sqrt_turbidity,sqrt_emergent_veg,sqrt_depth,sqrt_dist_to_breed,sqrt_suitable_598_split,sqrt_suitable_598
Pond S,2023,1.41509434,7.783018868,1,0.70754717,16.1,0.3,465.5,9.197,65,106.7,137.1070221,579600,603900,0,0.15230506,0.894852259,-0.143285763,1.206825876,-0.397940009,2.668851648,1.008472419,1.819543936,2.028164419,2.137059698,5.763128377,5.78096503,1.189577379,2.789806242,0.841158231,4.01248053,0.547722558,21.57544901,3.032655602,8.062257748,10.32956921,11.70927078,761.3146524,777.1100308
Delaney,2023,0.169721656,6.114285714,0,0.152380952,15.7,0,353.3,44.12,60,110,389.0821453,974700,1012500,0,-0.757751911,0.791055398,-0.785660854,1.195899652,-1,2.549371152,1.654369091,1.785329835,2.041392685,2.590041302,5.988870966,6.005395032,0.411972883,2.472708174,0.390360029,3.962322551,0,18.79627623,6.642288762,7.745966692,10.48808848,19.72516528,987.2689603,1006.23059
Carneros 2,2024,0.084889643,27.5,1,0,17.5,0.4,953.8,5.232,45,111.76,41.79,580500,597600,0,-1.046482112,1.440384255,-1.942008069,1.243038049,-0.301029996,2.97991241,0.794627445,1.662757832,2.048286393,1.621072371,5.763802224,5.776410589,0.291358273,5.244044241,0,4.183300133,0.632455532,30.88365263,2.287356553,6.708203932,10.57166023,6.464518544,761.905506,773.0459236
Millsap 2,2023,0.251396648,8.333333333,1,0.138888889,20,0.2,245.7,41.85,8,112,82.14877817,688500,1113300,0,-0.591154879,0.924279286,-0.822990571,1.301029996,-0.522878745,2.392169149,1.631950826,0.954242509,2.049218023,1.914601108,5.837903945,6.046612209,0.501394703,2.886751346,0.372677996,4.472135955,0.447213596,15.67482057,6.469157596,2.828427125,10.58300524,9.063596315,829.7590012,1055.130324
Carneros 2,2023,0.022970904,21.80555556,0,0.555555556,15.9,0.3,320.8,4.433,70,114.3,41.79,580500,597600,0,-1.553910079,1.33989291,-0.246429099,1.201397124,-0.397940009,2.50758604,0.735039705,1.851258349,2.05804623,1.621072371,5.763802224,5.776410589,0.151561552,4.669641909,0.745355993,3.987480407,0.547722558,17.91089054,2.105469069,8.366600265,10.69111781,6.464518544,761.905506,773.0459236
Seascape 1,2024,0,7.583333333,0,0.208333333,13.6,0,191.4,38.01,55,116.84,386.0542259,615600,734400,1,-2.304490568,0.883661435,-0.658047591,1.133538908,-1,2.284205068,1.59117595,1.748188027,2.067591548,2.586648311,5.789298611,5.865932668,0,2.753785274,0.456435464,3.687817783,0,13.83473888,6.165225057,7.416198487,10.80925529,19.64826267,784.6018098,856.9714114
Buena Vista 2,2022,0,0.257142857,0,0.028571429,19.5,0.1,171.4,15.31,3,120,509.3790289,827100,992700,0,-2.304490568,-0.489710382,-1.397940009,1.290034611,-0.698970004,2.236537261,1.212453961,0.602059991,2.079181246,2.707041061,5.917558021,5.996818022,0,0.507092553,0.169030852,4.415880433,0.316227766,13.09198228,3.912799509,1.732050808,10.95445115,22.56942686,909.4503835,996.3433143
Oxbow,2023,0.005955926,1.057692308,1,0,12.9,0.3,332,62.44,90,121,127.3270341,732600,732600,0,-1.961926805,0.050904991,-1.942008069,1.11058971,-0.397940009,2.522444234,1.802363174,1.959041392,2.08278537,2.104920623,5.864866914,5.864866914,0,1.028441689,0,3.591656999,0.547722558,18.22086716,7.901898506,9.486832981,11,11.28392813,855.9205571,855.9205571
Pond R,2023,1.398305085,7.669491525,1,1.355932203,16.3,0.3,1953,15.54,20,121.9,137.1070221,650700,652500,0,0.147139818,0.888525342,0.135883117,1.212187604,-0.397940009,3.290924559,1.218535505,1.322219295,2.086003706,2.137059698,5.813380807,5.814580516,1.182499507,2.769384683,1.164445019,4.037325848,0.547722558,44.19275959,3.942080669,4.472135955,11.0408333,11.70927078,806.6597796,807.7747211
Willow Canyon,2023,2.083333333,4.537037037,0,0.138888889,17.8,0,252.6,31.88,40,121.9,725.9154025,734400,739800,0,0.319791568,0.663107365,-0.822990571,1.250420002,-1,2.404149249,1.516931809,1.612783857,2.086003706,2.860886011,5.865932668,5.869114327,1.443375673,2.130032168,0.372677996,4.219004622,0,15.89339485,5.646237685,6.32455532,11.0408333,26.94281727,856.9714114,860.1162712
Delaney,2024,0.009578544,2.272727273,0,0.409090909,13.6,0,692,21.38,35,121.92,389.0821453,974700,1012500,1,-1.837469616,0.369103361,-0.376213881,1.133538908,-1,2.840733235,1.349860082,1.556302501,2.086074954,2.590041302,5.988870966,6.005395032,0.097870036,1.507556723,0.639602149,3.687817783,0,26.30589288,4.623851209,5.916079783,11.04173899,19.72516528,987.2689603,1006.23059
Oxbow,2024,0.048746518,0.85,1,0,13.1,0.3,1497,7.332,95,121.92,127.3270341,732600,732600,0,-1.26997044,-0.037788561,-1.942008069,1.117271296,-0.397940009,3.175511813,0.920749261,1.982271233,2.086074954,2.104920623,5.864866914,5.864866914,0.220786136,0.921954446,0,3.619392214,0.547722558,38.69108424,2.707766607,9.746794345,11.04173899,11.28392813,855.9205571,855.9205571
Pond R,2024,0.102986612,6.086956522,1,0,15.3,0.3,1978,19.32,40,121.92,137.1070221,650700,652500,0,-0.966789709,0.789130899,-1.942008069,1.184691431,-0.397940009,3.296445794,1.307923704,1.612783857,2.086074954,2.137059698,5.813380807,5.814580516,0.320915272,2.467175819,0,3.911521443,0.547722558,44.47471192,4.395452195,6.32455532,11.04173899,11.70927078,806.6597796,807.7747211
Delaney,2022,0,8.888888889,0,0,17.4,0,259.9,19.09,20,122,389.0821453,974700,1012500,0,-2.304490568,0.952092532,-1.942008069,1.240549248,-1,2.416474079,1.302979937,1.322219295,2.086359831,2.590041302,5.988870966,6.005395032,0,2.98142397,0,4.171330723,0,16.12141433,4.369210455,4.472135955,11.04536102,19.72516528,987.2689603,1006.23059
Seascape 3,2023,0.083732057,8.1,0,0,13.4,0,247.2,10.9,96,125,400.47,455400,910800,0,-1.05211372,0.91204483,-1.942008069,1.127104798,-1,2.394801777,1.075546961,1.986771734,2.096910013,2.602569988,5.658393026,5.959423022,0.28936492,2.846049894,0,3.660601044,0,15.72259521,3.301514804,9.797958971,11.18033989,20.01174655,674.8333128,954.3584232
Willow Canyon,2024,0.139891697,8.8,0,2,19.6,0,160.3,15.41,25,131.064,725.9154025,734400,739800,1,-0.839075462,0.947760382,0.303504615,1.292256071,-1,2.207634367,1.215108581,1.414973348,2.117483418,2.860886011,5.865932668,5.869114327,0.374020985,2.966479395,1.414213562,4.427188724,0,12.66096363,3.925557285,5,11.44831865,26.94281727,856.9714114,860.1162712
Buena Vista 1,2024,0.100624566,2.358490566,0,0.660377359,21.9,0,78.65,5.135,15,134.112,509.3790289,1070100,1070100,0,-0.976398257,0.384739901,-0.172756167,1.340444115,-1,1.90118578,0.787814567,1.204119983,2.127467639,2.707041061,6.029424364,6.029424364,0.317213754,1.535737792,0.812636056,4.679743583,0,8.868483523,2.266053839,3.872983346,11.58067356,22.56942686,1034.456379,1034.456379
Zmudowski,2022,0,6,1,0,16.1,0.5,214.2,3.853,45,137,6180.082151,305100,305100,0,-2.304490568,0.782950133,-1.942008069,1.206825876,-0.22184875,2.332842267,0.686010291,1.662757832,2.136720567,3.790994248,5.484442208,5.484442208,0,2.449489743,0,4.01248053,0.707106781,14.6355731,1.962906009,6.708203932,11.70469991,78.61349853,552.3585792,552.3585792
Carneros 1,2024,0.164473684,12.31132075,1,0,14.7,0.4,185,6.402,90,137.16,58.16,544500,561600,0,-0.770999434,1.092650037,-1.942008069,1.167317335,-0.301029996,2.269512944,0.869349081,1.959041392,2.137227476,1.764624398,5.735997884,5.749427099,0.405553553,3.508749172,0,3.834057903,0.632455532,13.60147051,2.530217382,9.486832981,11.71153278,7.626270386,737.9024326,749.3997598
Seascape 3,2024,0.27,16.06481481,0,0.231481482,14.3,0,182.7,10.11,35,137.16,400.47,455400,910800,1,-0.56072998,1.207674254,-0.614554511,1.155336037,-1,2.264109156,1.045714059,1.556302501,2.137227476,2.602569988,5.658393026,5.959423022,0.519615242,4.008093663,0.481125225,3.78153408,0,13.51665639,3.179622619,5.916079783,11.71153278,20.01174655,674.8333128,954.3584232
Merk,2023,0,0.245098039,0,0.147058824,16.3,0,204.9,34.42,20,137.2,1523.332338,693000,750600,0,-2.304490568,-0.506173052,-0.800005273,1.212187604,-1,2.313656347,1.549248557,1.322219295,2.137354111,3.182794662,5.840733235,5.87540856,0,0.495073771,0.383482495,4.037325848,0,14.31432849,5.866856058,4.472135955,11.71324037,39.02989031,832.4662155,866.3717447
Pond N,2023,0.888157895,5.87962963,0,0.277777778,14.8,0.3,1248,50.61,35,137.2,122.3977912,675000,675000,0,-0.049091055,0.774246546,-0.538792177,1.170261715,-0.397940009,3.096562438,1.712733859,1.556302501,2.137354111,2.087773581,5.829303773,5.829303773,0.942421294,2.42479476,0.527046277,3.847076812,0.547722558,35.32704347,7.114070565,5.916079783,11.71324037,11.06335352,821.5838363,821.5838363
Tucker,2023,0.132517839,1.886792453,1,1.698113208,16.6,0,301.2,21.62,10,137.2,1889.03152,1097100,1120500,0,-0.861766302,0.290804327,0.232879719,1.220108088,-1,2.48029446,1.354492601,1.041392685,2.137354111,3.276239205,6.040246215,6.049411861,0.364029997,1.37360564,1.303116728,4.074309757,0,17.35511452,4.649731175,3.16227766,11.71324037,43.46299023,1047.425415,1058.536726
Upper Cattail,2022,0.071428571,41.14285714,0,0,19,0.2,935.9,53.97,3,143,125.4005816,396900,832500,0,-1.116969812,1.614997596,-1.942008069,1.278753601,-0.522878745,2.971693239,1.740125737,0.602059991,2.155336037,2.098299551,5.598681099,5.920384242,0.267261241,6.414269806,0,4.358898944,0.447213596,30.59248274,7.346427703,1.732050808,11.95826074,11.19824011,630,912.4143795
Tucker,2024,0,6.778846154,1,2.115384615,18.4,0,110.1,1.141,15,146.304,1889.03152,1097100,1120500,0,-2.304490568,0.835405988,0.327729344,1.264817823,-1,2.045714059,0.330616667,1.204119983,2.1652562,3.276239205,6.040246215,6.049411861,0,2.603621738,1.454436185,4.289522118,0,10.49285471,1.068176015,3.872983346,12.09561904,43.46299023,1047.425415,1058.536726
North County Parks,2023,0.055305203,13.89423077,0,0.048076923,17.7,0.2,308.1,21.41,35,152,1240.835816,338400,338400,0,-1.219931092,1.144913337,-1.225442935,1.247973266,-0.522878745,2.490099005,1.350441857,1.556302501,2.181843588,3.093714321,5.529430354,5.529430354,0.235170583,3.727496582,0.219264505,4.207136794,0.447213596,17.55277756,4.627094121,5.916079783,12.32882801,35.22549951,581.7215829,581.7215829
Carneros 1,2023,0.133101852,11.82692308,1,0.432692308,15.7,0.4,162.4,8.194,98,152.4,58.16,544500,561600,0,-0.859925308,1.075312954,-0.352498809,1.195899652,-0.301029996,2.213252052,0.963504499,1.995635195,2.182984967,1.764624398,5.735997884,5.749427099,0.364831265,3.439029381,0.657793515,3.962322551,0.632455532,12.74362586,2.862516375,9.899494937,12.34503949,7.626270386,737.9024326,749.3997598
Racehorse,2023,0.304,16.45,1,0.3,21.6,0.1,253,1.174,10,152.4,1046.59,1108800,1111500,0,-0.510097298,1.217922404,-0.506641547,1.334453751,-0.698970004,2.404833717,0.33725954,1.041392685,2.182984967,3.019776581,6.044853217,6.045909467,0.55136195,4.055859958,0.547722558,4.647580015,0.316227766,15.90597372,1.083512806,3.16227766,12.34503949,32.35104326,1052.995726,1054.277003
Upper Cattail,2023,0.071580064,3.55,0,0.1,14.4,0.2,273.1,2.818,70,152.4,125.4005816,396900,832500,0,-1.11610938,0.558308484,-0.953003439,1.158362492,-0.522878745,2.437909036,0.581835924,1.851258349,2.182984967,2.098299551,5.598681099,5.920384242,0.267544508,1.884144368,0.316227766,3.794733192,0.447213596,16.5257375,1.678689965,8.366600265,12.34503949,11.19824011,630,912.4143795
Valencia,2023,0.165447025,6.473282443,0,0.061068702,13.3,0.1,210.5,1.251,90,152.4,1191.474501,37800,971100,0,-0.768511698,0.815574369,-1.139678329,1.123851641,-0.698970004,2.325310372,0.352375495,1.959041392,2.182984967,3.076084752,4.5774918,5.987263954,0.406751798,2.544264617,0.247120825,3.646916506,0.316227766,14.50861813,1.118481113,9.486832981,12.34503949,34.51774183,194.422221,985.4440623
Zmudowski,2023,0,3.676470588,1,0,16.3,0.2,255.1,10.35,35,152.4,6180.082151,305100,305100,1,-2.304490568,0.573235752,-1.942008069,1.212187604,-0.522878745,2.408409578,1.054995862,1.556302501,2.182984967,3.790994248,5.484442208,5.484442208,0,1.917412472,0,4.037325848,0.447213596,15.97185024,3.217141588,5.916079783,12.34503949,78.61349853,552.3585792,552.3585792
Hix,2024,0,33.57142857,0,4.017857143,16.7,0.2,414.3,2.845,5,152.4,654.0173365,243900,797400,1,-2.304490568,1.526831396,0.605228064,1.222716471,-0.522878745,2.618361931,0.584896344,0.77815125,2.182984967,2.815589261,5.3872118,5.901676231,0,5.794085654,2.004459314,4.086563348,0.447213596,20.35436071,1.686712779,2.236067977,12.34503949,25.57376266,493.862329,892.972564
Howell,2024,0,2.450980392,0,0.245098039,15.6,1,483.3,2.126,40,152.4,710.2079222,197100,768600,1,-2.304490568,0.400994848,-0.590867578,1.193124598,0.041392685,2.685114469,0.494988974,1.612783857,2.182984967,2.851385512,5.294686624,5.88570038,0,1.565560728,0.495073771,3.949683532,1,21.98408515,1.458080931,6.32455532,12.34503949,26.64972649,443.9594576,876.6983518
Lower Cattail,2024,0,1.574074074,0,0.138888889,19.3,0.8,302,3.41,5,152.4,125.4005816,486000,615600,0,-2.304490568,0.215039962,-0.822990571,1.285557309,-0.045757491,2.481442629,0.64443859,0.77815125,2.182984967,2.098299551,5.686636269,5.789298611,0,1.254621088,0.372677996,4.393176527,0.894427191,17.3781472,1.846618531,2.236067977,12.34503949,11.19824011,697.1370023,784.6018098
Merk,2024,0,0.508474576,1,0.042372881,20,0.1,172.1,24.18,5,152.4,1523.332338,693000,750600,1,-2.304490568,-0.240225488,-1.269206003,1.301029996,-0.698970004,2.238297068,1.401055726,0.77815125,2.182984967,3.182794662,5.840733235,5.87540856,0,0.713074033,0.205846742,4.472135955,0.316227766,13.11868896,4.917316341,2.236067977,12.34503949,39.02989031,832.4662155,866.3717447
Millsap 1,2024,0,0,1,0,12.9,0.1,914.8,30.52,95,152.4,82.14877817,744300,1125000,0,-2.304490568,-1.176091257,-1.942008069,1.11058971,-0.698970004,2.961800639,1.498586209,1.982271233,2.182984967,1.914601108,5.871748019,6.051152522,0,0,0,3.591656999,0.316227766,30.24566085,5.524490927,9.746794345,12.34503949,9.063596315,862.7282307,1060.660172
North County Parks,2024,0.040268456,8.970588235,1,0.049019608,19,0.2,250.8,6.616,15,152.4,1240.835816,338400,338400,0,-1.344585194,0.956036532,-1.218616778,1.278753601,-0.522878745,2.401055726,0.881726935,1.204119983,2.182984967,3.093714321,5.529430354,5.529430354,0.200670018,2.995094028,0.221403722,4.358898944,0.447213596,15.83666632,2.572158627,3.872983346,12.34503949,35.22549951,581.7215829,581.7215829
Pond N,2024,0.033409898,4.210526316,1,0,14.7,0.2,1242,33.76,55,152.4,122.3977912,675000,675000,0,-1.416005767,0.631158846,-1.942008069,1.167317335,-0.522878745,3.094471129,1.541079768,1.748188027,2.182984967,2.087773581,5.829303773,5.829303773,0.182783747,2.051956704,0,3.834057903,0.447213596,35.24202037,5.810335619,7.416198487,12.34503949,11.06335352,821.5838363,821.5838363
Racehorse,2024,0.062466051,6.634615385,1,0.096153846,17.6,0,109.3,4.266,10,152.4,1046.59,1108800,1111500,1,-1.171170233,0.826157898,-0.968258703,1.245512668,-1,2.042575512,0.721480855,1.041392685,2.182984967,3.019776581,6.044853217,6.045909467,0.249932093,2.575774715,0.310086836,4.195235393,0,10.45466403,2.065429737,3.16227766,12.34503949,32.35104326,1052.995726,1054.277003
Seascape 2,2024,0.08203125,2.95,0,0.5,13.3,0,204.7,9.389,90,152.4,386.0542259,530100,662400,1,-1.060522846,0.479527325,-0.291215014,1.123851641,-1,2.313234292,1.016573746,1.959041392,2.182984967,2.586648311,5.724357804,5.821120324,0.286410981,1.717556404,0.707106781,3.646916506,0,14.30734077,3.064147516,9.486832981,12.34503949,19.64826267,728.079666,813.879598
Shadowmere,2024,0,0.066666667,1,0.033333333,15.1,0,236.9,55.61,20,152.4,864.2583058,1081800,1081800,0,-2.304490568,-0.875061261,-1.349091449,1.178976947,-1,2.376394442,1.752893155,1.322219295,2.182984967,2.936643562,6.034146977,6.034146977,0,0.25819889,0.182574185,3.885871846,0,15.39155613,7.457211275,4.472135955,12.34503949,29.39827046,1040.096149,1040.096149
Upper Cattail,2024,0.05599711,9.545454545,0,0.136363636,13.9,0.2,293.7,4.997,50,152.4,125.4005816,396900,832500,1,-1.214973373,0.982819239,-0.830348465,1.1430148,-0.522878745,2.469380136,0.777934049,1.707570176,2.182984967,2.098299551,5.598681099,5.920384242,0.236637085,3.089571903,0.369274472,3.728270376,0.447213596,17.13767779,2.235397056,7.071067812,12.34503949,11.19824011,630,912.4143795
Valencia,2024,0,8.301886792,0,0.047169811,13.6,0,301.2,2.211,60,152.4,1191.474501,37800,971100,1,-2.304490568,0.922650395,-1.232114375,1.133538908,-1,2.48029446,0.506640306,1.785329835,2.182984967,3.076084752,4.5774918,5.987263954,0,2.881299497,0.217186121,3.687817783,0,17.35511452,1.486943173,7.745966692,12.34503949,34.51774183,194.422221,985.4440623
Zmudowski,2024,0,3.653846154,1,0,16.8,0.3,345.7,6.576,70,152.4,6180.082151,305100,305100,1,-2.304490568,0.570602806,-1.942008069,1.225309282,-0.397940009,2.539953842,0.879439966,1.851258349,2.182984967,3.790994248,5.484442208,5.484442208,0,1.911503637,0,4.098780306,0.547722558,18.59300944,2.564371268,8.366600265,12.34503949,78.61349853,552.3585792,552.3585792
Lower Cattail,2023,0.005399568,2.990196078,0,0.049019608,17.6,0.3,307.7,15.95,7,153,125.4005816,486000,615600,0,-1.984645065,0.485275939,-1.218616778,1.245512668,-0.397940009,2.489536629,1.229169703,0.903089987,2.184691431,2.098299551,5.686636269,5.789298611,0.073481753,1.729218343,0.221403722,4.195235393,0.547722558,17.54137965,3.99374511,2.645751311,12.36931688,11.19824011,697.1370023,784.6018098
Ellicott,2024,0.176168339,14.95192308,0,1.057692308,16.9,0,198.1,3.556,85,158.496,382.2162706,671400,840600,1,-0.742012835,1.176629154,0.029026811,1.227886705,-1,2.29907126,0.658583715,1.934498451,2.200018306,2.582309171,5.826981337,5.924589386,0.419724123,3.866771661,1.028441689,4.110960958,0,14.07480018,1.885735931,9.219544457,12.58951945,19.55035219,819.390017,916.8424074
Prospect,2024,0.070082165,33.1557377,0,0.614754098,19.2,0,283.1,8.121,30,158.496,382.2162706,639900,882900,0,-1.12469281,1.52143106,-0.203298957,1.283301229,-1,2.453471234,0.960042456,1.491361694,2.200018306,2.582309171,5.80611211,5.945911517,0.264730363,5.758101918,0.78406256,4.38178046,0,16.82557577,2.84973683,5.477225575,12.58951945,19.55035219,799.9374976,939.6275858
Buena Vista 2,2023,0.069767442,9.553571429,0,0.089285714,19.9,0,115.2,4.747,20,173.7,509.3790289,827100,992700,0,-1.126518042,0.983185821,-0.996908926,1.298853076,-1,2.065206128,0.759441197,1.322219295,2.239799818,2.707041061,5.917558021,5.996818022,0.264135272,3.090885218,0.298807152,4.460941605,0,10.73312629,2.178761116,4.472135955,13.17952958,22.56942686,909.4503835,996.3433143
Shadowmere,2023,0,0,1,0.060240964,13.5,0,234.7,42.68,17,183,864.2583058,1081800,1081800,0,-2.304490568,-1.176091257,-1.144665413,1.130333768,-1,2.372359583,1.64028263,1.255272505,2.26245109,2.936643562,6.034146977,6.034146977,0,0,0.245440347,3.674234614,0,15.31992167,6.532993188,4.123105626,13.52774926,29.39827046,1040.096149,1040.096149
Buena Vista 2,2024,1.25,19.86607143,0,0.267857143,22.4,0,60.17,2.599,5,184.404,509.3790289,827100,992700,0,0.098629993,1.29956696,-0.553951279,1.350248018,-1,1.78653848,0.556181847,0.77815125,2.265770337,2.707041061,5.917558021,5.996818022,1.118033989,4.457137134,0.51754917,4.732863826,0,7.756932383,1.612141433,2.236067977,13.57954344,22.56942686,909.4503835,996.3433143
Ellicott,2023,0,12.26285714,0,0.011428571,18,0.1,709.85,24.86,25,218,382.2162706,671400,840600,1,-2.304490568,1.090946304,-1.640978074,1.255272505,-0.698970004,2.851777968,1.412628521,1.414973348,2.338456494,2.582309171,5.826981337,5.924589386,0,3.501836253,0.106904495,4.242640687,0.316227766,26.64301034,4.985980345,5,14.76482306,19.55035219,819.390017,916.8424074
Prospect,2023,0,51.2,0,1.885714286,19,0,253.2,9.382,7,219,382.2162706,639900,882900,1,-2.304490568,1.709835081,0.278100035,1.278753601,-1,2.405175546,1.016281025,0.903089987,2.340444115,2.582309171,5.80611211,5.945911517,0,7.155417528,1.373213125,4.358898944,0,15.91225942,3.06300506,2.645751311,14.79864859,19.55035219,799.9374976,939.6275858
Buena Vista 1,2023,0,5.288461538,0,0.144230769,18.8,0,209.3,28.98,10,237.7,509.3790289,1070100,1070100,0,-2.304490568,0.728769873,-0.807824815,1.274157849,-1,2.322839273,1.476831629,1.041392685,2.376029182,2.707041061,6.029424364,6.029424364,0,2.299665527,0.379777262,4.335896678,0,14.46720429,5.383307533,3.16227766,15.4175225,22.56942686,1034.456379,1034.456379
